Snake Amagi
Alm Aelita
Gunnthra Jeanne
Ike Yuna
Sione Flora
Tharja Mei
Tomia Myrrhh
Takumi Dokkaebi
Mashu Makoto
Julia Fae
Kat Lissa
Aegis Minako
Anna Snake
Nora Okumura
Serrah Squall
Kitty Ike
Aranea Shinji
Tailtiu Link
Steve Naoto
Squall Kat
Shiho Ayra
Aranea Rise
Florina Kana
Curry Effie
Karren Bill
Leia Nora
Aranea Rin
Kurijawa Fang
L'Arachel Prompto
Gudako Minako
Effie Fae
Olivia Niijima
Setsuna Oriana
Nino Elise
Luna Ayra
Blake Cordelia
Olivia Justine
Yukiko Jeanne
Ignis Tharja
Fae Tattau
Janna Niijima
Justine Croft
Tiki Tae
Alm Zelda
Cordelia Chrom
Shiho Morgan
Yumi Snake
Serrah Vannile
Rock Aegis
Aelita Lyn
Mario Kana
Ren Y'shtola
Ignis Lucis
Caeda Yenneffer
Aelita Takamaki
Oboro Steve
Lara Chie
Rei Marth
Kagero Megumin
Megumin Takemi
Lorde Zelda
Rin Altera
Camillia Tailtiu
Rin Tattau
Florina Christina
Aelita Celica
Neil Felicia
Morgana Ren
Kana Marth
Mitsuru Alphonse
Lightning Takemi
Chie Nikos
Niijima Morgan
Nowi Florina
Hector Cloud
Claire Hermitage
Ana Ahri
Croft Peach
Triss Tharja
Yuna Neil
Fjorm Aranea
Celica Ann
Sakura Yuna
Tohsaka Mario
Mei Fang
Beck Janna
Aranea Yenneffer
Kiana Aegis
Cordelia Altera
Felicia Kat
Hestia Naya
Mae Cordelia
Rei Himeko
Satonaka Akira
Logan Genny
Perri Katalina
Vannessa Ana
Solo Naoto
Hestia L'Arachel
Julia Naoto
Altera Squall
Katalina Lyria
Hector Shareena
Weiss L'Arachel
Minako Pyrrha
Amagi Karren
Celica Emiya
Myrrhh Tomia
Janna Julia
Lightning Link
Gudako Asuka
Makoto Oriana
Serrah Lucis
Vira Florina
Camillia Ana
Hector Satonaka
Solo Zelda
Steve Myrrhh
Takumi Robin
Logan Kurijawa
Ikari James
